epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,662.629,1.00334,0.75705,1.2236,0.94705,0.87466,0.95892,0.62864,1.21317,0.68741,1.498,0.0006535,0.0006535,0.0006535
44,677.654,0.96655,0.71887,1.20987,0.88285,0.8797,0.94402,0.64753,1.13761,0.73781,1.4235,0.00064525,0.00064525,0.00064525
45,693.108,0.97131,0.72251,1.20352,0.8834,0.88977,0.9603,0.62449,1.25472,0.67725,1.51108,0.000637,0.000637,0.000637
46,708.987,1.0021,0.722,1.20882,0.93294,0.90295,0.97337,0.63433,1.21547,0.66587,1.48777,0.00062875,0.00062875,0.00062875
47,724.062,0.9719,0.73339,1.1996,0.88701,0.90899,0.96319,0.63856,1.16228,0.65775,1.46295,0.0006205,0.0006205,0.0006205
48,739.158,0.97546,0.72661,1.20893,0.86033,0.91181,0.92881,0.61208,1.18616,0.70986,1.47399,0.00061225,0.00061225,0.00061225
49,754.554,0.98516,0.72759,1.20405,0.9559,0.85934,0.96199,0.64991,1.17721,0.65883,1.45319,0.000604,0.000604,0.000604
50,770.249,0.95969,0.72146,1.18741,0.84789,0.89118,0.94259,0.61797,1.17536,0.70359,1.47934,0.00059575,0.00059575,0.00059575
51,786.601,0.98956,0.72044,1.22441,0.88792,0.89403,0.9498,0.6228,1.18529,0.68577,1.48113,0.0005875,0.0005875,0.0005875
52,802.188,0.94852,0.68739,1.18776,0.88356,0.8544,0.95492,0.60741,1.16209,0.65832,1.48003,0.00057925,0.00057925,0.00057925
53,817.346,0.95205,0.70728,1.182,0.90641,0.90059,0.95722,0.6254,1.18495,0.65107,1.49272,0.000571,0.000571,0.000571
54,832.56,0.93633,0.70057,1.18183,0.95588,0.908,0.98219,0.64915,1.1734,0.5931,1.45756,0.00056275,0.00056275,0.00056275
55,848.302,0.94213,0.70594,1.18713,0.96725,0.91496,0.95198,0.62596,1.24852,0.6184,1.54454,0.0005545,0.0005545,0.0005545
56,864.41,0.95244,0.6721,1.19154,0.96827,0.91559,0.97387,0.61811,1.2515,0.61469,1.5305,0.00054625,0.00054625,0.00054625
57,879.809,0.915,0.63181,1.16093,0.88363,0.85658,0.93687,0.62726,1.15907,0.63312,1.46037,0.000538,0.000538,0.000538
