epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,711.714,1.00942,0.74368,1.21811,0.8439,0.84509,0.8685,0.60727,1.18356,0.76641,1.39813,0.0006535,0.0006535,0.0006535
44,729.057,1.00182,0.73847,1.21655,0.88056,0.88468,0.90986,0.61589,1.21474,0.68916,1.44569,0.00064525,0.00064525,0.00064525
45,745.632,0.99364,0.71884,1.21888,0.90658,0.87056,0.91804,0.62896,1.26111,0.68483,1.4767,0.000637,0.000637,0.000637
46,761.825,0.97145,0.70353,1.19848,0.8853,0.82134,0.87366,0.61731,1.20553,0.71942,1.46892,0.00062875,0.00062875,0.00062875
47,778.05,0.9558,0.6852,1.19025,0.87597,0.85734,0.8922,0.62896,1.17952,0.65709,1.42797,0.0006205,0.0006205,0.0006205
48,795.438,0.97231,0.69952,1.19892,0.91091,0.90129,0.91705,0.64196,1.13826,0.6644,1.38217,0.00061225,0.00061225,0.00061225
49,811.701,0.97799,0.71916,1.21113,0.88429,0.88699,0.91302,0.63316,1.19451,0.66782,1.43061,0.000604,0.000604,0.000604
50,828.087,0.95834,0.68498,1.19153,0.9046,0.88174,0.90994,0.63828,1.18189,0.63855,1.40703,0.00059575,0.00059575,0.00059575
51,844.685,0.97553,0.68616,1.19872,0.8844,0.81505,0.89266,0.62526,1.18964,0.69197,1.44998,0.0005875,0.0005875,0.0005875
52,861.403,0.97216,0.68435,1.2016,0.89743,0.88748,0.89746,0.63354,1.15226,0.64224,1.39909,0.00057925,0.00057925,0.00057925
53,877.269,0.95464,0.67051,1.18383,0.8588,0.86938,0.88381,0.61825,1.19069,0.69128,1.41011,0.000571,0.000571,0.000571
54,893.522,0.95067,0.69131,1.19502,0.88659,0.87658,0.89794,0.62114,1.18895,0.66679,1.43443,0.00056275,0.00056275,0.00056275
55,910.344,0.95857,0.67987,1.19898,0.82853,0.87611,0.89159,0.6264,1.17862,0.68971,1.39281,0.0005545,0.0005545,0.0005545
56,926.8,0.94001,0.68611,1.18283,0.92307,0.87357,0.91835,0.63291,1.21878,0.67281,1.47411,0.00054625,0.00054625,0.00054625
57,942.866,0.9269,0.65399,1.17546,0.88628,0.90368,0.90644,0.63545,1.14544,0.62947,1.39978,0.000538,0.000538,0.000538
58,959.079,0.91612,0.64095,1.16161,0.8427,0.86228,0.89356,0.64064,1.15465,0.70623,1.40371,0.00052975,0.00052975,0.00052975
59,976.289,0.90833,0.63824,1.1599,0.87335,0.83352,0.88315,0.62434,1.18347,0.68759,1.40962,0.0005215,0.0005215,0.0005215
60,992.757,0.88682,0.60765,1.15071,0.9106,0.87165,0.90511,0.64197,1.15464,0.65257,1.41547,0.00051325,0.00051325,0.00051325
61,1009.05,0.90524,0.63284,1.15169,0.85273,0.88543,0.89978,0.63765,1.1815,0.66881,1.44532,0.000505,0.000505,0.000505
62,1025.16,0.88642,0.60825,1.14577,0.91735,0.85339,0.90263,0.63098,1.18743,0.64808,1.44423,0.00049675,0.00049675,0.00049675
63,1042.34,0.88134,0.59341,1.1604,0.92577,0.85059,0.91041,0.65466,1.13426,0.66004,1.39537,0.0004885,0.0004885,0.0004885
64,1058.36,0.88176,0.60398,1.14567,0.92536,0.88388,0.91454,0.65976,1.12081,0.60824,1.38087,0.00048025,0.00048025,0.00048025
65,1074.37,0.86048,0.59511,1.1293,0.88903,0.86585,0.90361,0.65265,1.14887,0.62218,1.41578,0.000472,0.000472,0.000472
66,1090.58,0.89271,0.60953,1.15701,0.86847,0.84979,0.89653,0.6182,1.16295,0.68766,1.3944,0.00046375,0.00046375,0.00046375
67,1107.64,0.87498,0.60254,1.12872,0.87173,0.84065,0.86566,0.60853,1.19512,0.7023,1.45239,0.0004555,0.0004555,0.0004555
68,1123.74,0.86399,0.58765,1.14059,0.91283,0.85331,0.88822,0.63368,1.15327,0.67549,1.4138,0.00044725,0.00044725,0.00044725
69,1139.81,0.84708,0.5898,1.12268,0.88313,0.91759,0.90004,0.64944,1.11781,0.63271,1.41726,0.000439,0.000439,0.000439
70,1157.04,0.84415,0.57753,1.13557,0.90019,0.88396,0.90717,0.63572,1.16903,0.63486,1.46081,0.00043075,0.00043075,0.00043075
71,1173.69,0.84701,0.58455,1.12766,0.89726,0.90799,0.91474,0.65616,1.13878,0.59587,1.401,0.0004225,0.0004225,0.0004225
72,1189.99,0.8658,0.58709,1.13408,0.88266,0.87814,0.91316,0.63455,1.21465,0.64301,1.46115,0.00041425,0.00041425,0.00041425
73,1206.3,0.83415,0.58152,1.121,0.84669,0.89005,0.89723,0.62616,1.1889,0.69975,1.4519,0.000406,0.000406,0.000406
74,1223.85,0.85854,0.59565,1.12766,0.91907,0.80865,0.89762,0.63031,1.17598,0.66371,1.44691,0.00039775,0.00039775,0.00039775
75,1239.99,0.82728,0.56327,1.10766,0.91607,0.87544,0.91704,0.64789,1.17707,0.59626,1.45078,0.0003895,0.0003895,0.0003895
76,1256.34,0.83366,0.55871,1.11594,0.8649,0.85856,0.90043,0.6334,1.18323,0.64611,1.42698,0.00038125,0.00038125,0.00038125
77,1273.54,0.82389,0.5441,1.11104,0.90882,0.89511,0.90154,0.63862,1.19192,0.58838,1.41404,0.000373,0.000373,0.000373
78,1289.96,0.80544,0.53668,1.10733,0.91369,0.8634,0.90846,0.6325,1.16606,0.61828,1.41873,0.00036475,0.00036475,0.00036475
79,1306.18,0.81396,0.5405,1.11306,0.90593,0.90212,0.92288,0.66331,1.1553,0.58869,1.40394,0.0003565,0.0003565,0.0003565
80,1322.67,0.7967,0.52481,1.10397,0.91052,0.9105,0.91964,0.65568,1.15013,0.57126,1.36922,0.00034825,0.00034825,0.00034825
81,1340.34,0.79685,0.52193,1.09236,0.91087,0.85964,0.89991,0.631,1.19507,0.59049,1.44864,0.00034,0.00034,0.00034
82,1356.72,0.79168,0.53579,1.08809,0.88087,0.87406,0.90159,0.62921,1.19976,0.61923,1.44443,0.00033175,0.00033175,0.00033175
83,1373.1,0.77101,0.51029,1.08314,0.91675,0.82477,0.88567,0.62103,1.18764,0.63148,1.44328,0.0003235,0.0003235,0.0003235
84,1390.57,0.7669,0.527,1.08836,0.89814,0.85949,0.904,0.63711,1.15965,0.6116,1.42893,0.00031525,0.00031525,0.00031525
85,1406.75,0.75869,0.5029,1.07786,0.90504,0.88851,0.91689,0.66323,1.15831,0.64157,1.42082,0.000307,0.000307,0.000307
86,1422.96,0.75231,0.51078,1.06895,0.90186,0.87963,0.90822,0.66031,1.14954,0.61708,1.42003,0.00029875,0.00029875,0.00029875
87,1439.24,0.77032,0.51154,1.07479,0.91434,0.88675,0.90886,0.65723,1.15208,0.60788,1.41746,0.0002905,0.0002905,0.0002905
88,1456.58,0.76432,0.51276,1.06667,0.89841,0.9074,0.91688,0.66628,1.15947,0.58768,1.47049,0.00028225,0.00028225,0.00028225
89,1472.92,0.74199,0.49574,1.06358,0.89772,0.91105,0.91312,0.64914,1.18751,0.61632,1.47927,0.000274,0.000274,0.000274
90,1489.34,0.76225,0.50349,1.07759,0.91279,0.88691,0.89171,0.63373,1.19726,0.62433,1.48988,0.00026575,0.00026575,0.00026575
91,1506.56,0.73954,0.48746,1.07413,0.87583,0.89063,0.89043,0.64698,1.14723,0.62425,1.44689,0.0002575,0.0002575,0.0002575
92,1522.73,0.75721,0.49588,1.06194,0.87926,0.91274,0.92422,0.65518,1.15275,0.57249,1.43985,0.00024925,0.00024925,0.00024925
93,1539.23,0.7497,0.49262,1.06995,0.88987,0.89959,0.92193,0.64562,1.18325,0.59139,1.44927,0.000241,0.000241,0.000241
94,1555.8,0.72903,0.45941,1.05438,0.88883,0.91211,0.91443,0.64619,1.17394,0.6094,1.45927,0.00023275,0.00023275,0.00023275
95,1572.99,0.72442,0.47663,1.05547,0.90927,0.92132,0.93068,0.66379,1.15698,0.56668,1.45205,0.0002245,0.0002245,0.0002245
96,1589.25,0.71658,0.4704,1.04961,0.87731,0.9097,0.92394,0.63455,1.21514,0.56937,1.51722,0.00021625,0.00021625,0.00021625
97,1605.65,0.7137,0.46757,1.05781,0.9301,0.88865,0.91982,0.63341,1.17739,0.60279,1.47231,0.000208,0.000208,0.000208
98,1623.23,0.70512,0.46997,1.04146,0.86965,0.9216,0.92622,0.64915,1.15914,0.60122,1.4558,0.00019975,0.00019975,0.00019975
99,1639.67,0.71992,0.46286,1.05364,0.9053,0.88776,0.89654,0.62957,1.16735,0.64564,1.4657,0.0001915,0.0001915,0.0001915
100,1656.13,0.70184,0.46652,1.04844,0.91934,0.90228,0.91789,0.63872,1.16734,0.59796,1.47377,0.00018325,0.00018325,0.00018325
101,1672.77,0.70758,0.46745,1.04476,0.93543,0.84459,0.91906,0.65463,1.13772,0.60958,1.4201,0.000175,0.000175,0.000175
102,1689.93,0.66844,0.43703,1.02653,0.89929,0.88228,0.90715,0.64878,1.13078,0.58139,1.43789,0.00016675,0.00016675,0.00016675
103,1706.32,0.70786,0.46827,1.05637,0.88532,0.85813,0.9084,0.65902,1.13818,0.60387,1.44186,0.0001585,0.0001585,0.0001585
104,1722.58,0.68703,0.45303,1.03707,0.90119,0.86666,0.91315,0.65678,1.16621,0.58937,1.47869,0.00015025,0.00015025,0.00015025
